CHARACTER,YEAR,COMICS,YEAR2
Ric Hochet,1994,Ric Hochet,1994
Néron,1995,Néron,1995
Cori,1998,Cori,1998
XIII,2010,XIII,2010
Froud & Stouf,2014,Froud & Stouf,2014
Léonard,2015,Léonard,2015
Cubitus,1994,Cubitus,1994
Suske & Wiske,1995,Suske & Wiske,1995
Le Passage,1995,Le Passage,1995
Jojo,1996,Jojo,1996
Odilon Verjus,2004,Odilon Verjus,2004
Tintin,2005,Tintin,2005
Titeuf,2006,Titeuf,2006
Natacha,2009,Natacha,2009
Benoit Brisefer,2015,Benoit Brisefer,2015
Kinky & Cosy,2016,Kinky & Cosy,2016
Broussaille,1999,Broussaille,1999
La patrouille des Castors,2003,La patrouille des Castors,2003
Blake & Mortimer,2005,Blake & Mortimer,2005
Gaston Lagaffe,2007,Gaston Lagaffe,2007
Thorgal,2013,Thorgal,2013
Boule & Bill,1992,Boule & Bill,1992
Lucky Luke,1993,Lucky Luke,1993
Blondin & Cirage,1998,Blondin & Cirage,1998
L'Ange de Sambre,1998,L'Ange de Sambre,1998
La Vache,1999,La Vache,1999
Billy the Cat,2000,Billy the Cat,2000
Le Jeune Albert,2000,Le Jeune Albert,2000
Le Scorpion,2002,Le Scorpion,2002
Corto Maltese,2009,Corto Maltese,2009
Gil Jourdan,2009,Gil Jourdan,2009
Marsupilami,2013,Marsupilami,2013
Spirou,2014,Spirou,2014
Jommeke,2015,Jommeke,2015
LGBT,2015,LGBT,2015
Parchis,2016,Parchis,2016
Le Chat,1993,Le Chat,1993
Le Petit Spirou,1996,Le Petit Spirou,1996
Gaston Lagaffe (statue),1996,Gaston Lagaffe (statue),1996
Olivier Rameau,1997,Olivier Rameau,1997
Les rêves de Nick,1999,Les rêves de Nick,1999
Victor Sackville,2002,Victor Sackville,2002
Monsieur Jean,2002,Monsieur Jean,2002
Passe-moi l'ciel,2002,Passe-moi l'ciel,2002
Caroline Baldwin,2003,Caroline Baldwin,2003
Martine,2004,Martine,2004
Astérix & Obélix,2005,Astérix & Obélix,2005
Lincoln,2006,Lincoln,2006
Le roi des mouches,2007,Le roi des mouches,2007
Kiekeboe,2009,Kiekeboe,2009
Yoko Tsuno,2011,Yoko Tsuno,2011
Quick & Flupke,2015,Quick & Flupke,2015
Ric Hochet,1994,Ric Hochet,1994
Néron,1995,Néron,1995
Cori,1998,Cori,1998
XIII,2010,XIII,2010
Froud & Stouf,2014,Froud & Stouf,2014
Léonard,2015,Léonard,2015
Cubitus,1994,Cubitus,1994
Suske & Wiske,1995,Suske & Wiske,1995
Le Passage,1995,Le Passage,1995
Jojo,1996,Jojo,1996
Odilon Verjus,2004,Odilon Verjus,2004
Tintin,2005,Tintin,2005
Titeuf,2006,Titeuf,2006
Natacha,2009,Natacha,2009
Benoit Brisefer,2015,Benoit Brisefer,2015
Kinky & Cosy,2016,Kinky & Cosy,2016
Broussaille,1999,Broussaille,1999
La patrouille des Castors,2003,La patrouille des Castors,2003
Blake & Mortimer,2005,Blake & Mortimer,2005
Gaston Lagaffe,2007,Gaston Lagaffe,2007
Thorgal,2013,Thorgal,2013
Boule & Bill,1992,Boule & Bill,1992
Lucky Luke,1993,Lucky Luke,1993
Blondin & Cirage,1998,Blondin & Cirage,1998
L'Ange de Sambre,1998,L'Ange de Sambre,1998
La Vache,1999,La Vache,1999
Billy the Cat,2000,Billy the Cat,2000
Le Jeune Albert,2000,Le Jeune Albert,2000
Le Scorpion,2002,Le Scorpion,2002
Corto Maltese,2009,Corto Maltese,2009
Gil Jourdan,2009,Gil Jourdan,2009
Marsupilami,2013,Marsupilami,2013
Spirou,2014,Spirou,2014
Jommeke,2015,Jommeke,2015
LGBT,2015,LGBT,2015
Parchis,2016,Parchis,2016
Le Chat,1993,Le Chat,1993
Le Petit Spirou,1996,Le Petit Spirou,1996
Gaston Lagaffe (statue),1996,Gaston Lagaffe (statue),1996
Olivier Rameau,1997,Olivier Rameau,1997
Les rêves de Nick,1999,Les rêves de Nick,1999
Victor Sackville,2002,Victor Sackville,2002
Monsieur Jean,2002,Monsieur Jean,2002
Passe-moi l'ciel,2002,Passe-moi l'ciel,2002
Caroline Baldwin,2003,Caroline Baldwin,2003
Martine,2004,Martine,2004
Astérix & Obélix,2005,Astérix & Obélix,2005
Lincoln,2006,Lincoln,2006
Le roi des mouches,2007,Le roi des mouches,2007
Kiekeboe,2009,Kiekeboe,2009
Yoko Tsuno,2011,Yoko Tsuno,2011
Quick & Flupke,2015,Quick & Flupke,2015